number,title,arc,series,japanese_air_date,english_air_date,filler_status,characters
1,Enter: Naruto Uzumaki!,Prologue — Land of Waves,Naruto,"October 03, 2002","September 10, 2005",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Hiruzen Sarutobi', 'Iruka', 'Shikamaru Nara', 'Ino Yamanaka', 'Hinata Hyūga', 'Mizuki', 'Bekkō', 'Iwana', 'Yajirobee', 'Ibara', 'Tsubaki (parent)', 'Iruka Umino']"
2,My Name is Konohamaru!,Prologue — Land of Waves,Naruto,"October 10, 2002","September 10, 2005",Canon,"['Naruto Uzumaki', 'Konohamaru', 'Hiruzen Sarutobi', 'Iruka', 'Ebisu', 'Genzō', 'Sexy Technique']"
3,Sasuke and Sakura: Friends or Foes?,Prologue — Land of Waves,Naruto,"October 17, 2002","September 17, 2005",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Shikamaru Nara', 'Ino Yamanaka', 'Hinata Hyūga', 'Chōji Akimichi', 'Kiba Inuzuka', 'Hiruzen Sarutobi', 'Konohamaru', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Tobio', 'Mebuki Haruno']"
4,Pass or Fail: Survival Test,Prologue — Land of Waves,Naruto,"October 24, 2002","September 24, 2005",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Hiruzen Sarutobi']"
5,You Failed! Kakashi's Final Decision,Prologue — Land of Waves,Naruto,"October 31, 2002","October 01, 2005",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Hiruzen Sarutobi']"
6,A Dangerous Mission! Journey to the Land of Waves!,Prologue — Land of Waves,Naruto,"November 07, 2002","October 08, 2005",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Hiruzen Sarutobi', 'Tazuna', 'Zabuza Momochi', 'Gatō', 'Meizu', 'Madam Shijimi']"
7,The Assassin of the Mist!,Prologue — Land of Waves,Naruto,"November 14, 2002","October 15, 2005",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Zabuza Momochi', 'Tazuna', 'Kaji']"
8,The Oath of Pain,Prologue — Land of Waves,Naruto,"November 21, 2002","October 22, 2005",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Zabuza Momochi', 'Tazuna']"
9,Kakashi: Sharingan Warrior!,Prologue — Land of Waves,Naruto,"November 28, 2002","October 29, 2005",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku']"
10,The Forest of Chakra,Prologue — Land of Waves,Naruto,"December 05, 2002","November 05, 2005",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Zabuza Momochi', 'Haku', 'Gatō', 'Waraji', 'Zōri']"
11,The Land Where a Hero Once Lived,Prologue — Land of Waves,Naruto,"December 12, 2002","November 12, 2005",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Kaiza', 'Giichi', 'Gatō', 'Akane', 'Ageha']"
12,Battle on the Bridge! Zabuza Returns!,Prologue — Land of Waves,Naruto,"December 19, 2002","November 19, 2005",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Zabuza Momochi', 'Haku', 'Gatō', 'Kaiza']"
13,Haku's Secret Jutsu: Demonic Mirroring Ice Crystals,Prologue — Land of Waves,Naruto,"December 26, 2002","November 26, 2005",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Zabuza Momochi', 'Haku', 'Waraji', 'Zōri']"
14,"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!",Prologue — Land of Waves,Naruto,"January 09, 2003","December 03, 2005",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku']"
15,Zero Visibility: The Sharingan Shatters,Prologue — Land of Waves,Naruto,"January 16, 2003","December 10, 2005",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku']"
16,The Broken Seal,Prologue — Land of Waves,Naruto,"January 23, 2003","December 17, 2005",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Zabuza Momochi', 'Haku']"
17,White Past: Hidden Ambition,Prologue — Land of Waves,Naruto,"January 30, 2003","December 31, 2005",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku', ""Haku's mother""]"
18,The Weapons Known as Shinobi,Prologue — Land of Waves,Naruto,"February 06, 2003","January 07, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Kaiza', 'Zabuza Momochi', 'Haku', 'Gatō', 'Giichi', 'Agari']"
19,The Demon in the Snow,Prologue — Land of Waves,Naruto,"February 13, 2003","January 14, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Giichi', 'Gatō', 'Zabuza Momochi', 'Haku']"
20,A New Chapter Begins: The Chūnin Exam!,Chūnin Exams (Arc),Naruto,"February 20, 2003","January 21, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Hiruzen Sarutobi', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Konohamaru', 'Moegi', 'Udon', 'Gaara', 'Temari', 'Kankurō', 'Ino Yamanaka', 'Shikamaru Nara', 'Chōji Akimichi', 'Hinata Hyūga', 'Kiba Inuzuka']"
21,Identify Yourself: Powerful New Rivals,Chūnin Exams (Arc),Naruto,"February 27, 2003","January 28, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Hiruzen Sarutobi', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Gaara', 'Temari', 'Kankurō', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Konohamaru', 'Moegi', 'Udon', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Zaku Abumi', 'Dosu Kinuta']"
22,Chūnin Challenge: Rock Lee vs. Sasuke!,Chūnin Exams (Arc),Naruto,"March 06, 2003","February 04, 2006",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Ningame']"
23,Genin Takedown! All Nine Rookies Face Off!,Chūnin Exams (Arc),Naruto,"March 13, 2003","February 11, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Hiruzen Sarutobi', 'Might Guy', 'Gaara', 'Temari', 'Kankurō', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Kabuto Yakushi', 'Ibiki Morino', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hinata Hyūga', 'Shino Aburame', 'Kiba Inuzuka', 'Zaku Abumi', 'Dosu Kinuta', 'Kin Tsuchi']"
